Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change
2000-02-15,2.96,3.281,3.682,4.242,False,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-02-16,3.128,3.381,3.756,4.288,False,False,False,False,False,False,0.07399999999999984,0.0,0.0,0.0,0.07399999999999984,0.07399999999999984,0.07399999999999984,0.0,0.0,0.0,0.07399999999999984,0.07399999999999984,0.07399999999999984
2000-02-17,3.098,3.377,3.763,4.292,False,False,False,False,False,False,0.007000000000000117,0.0,0.0,0.0,0.007000000000000117,0.007000000000000117,0.007000000000000117,0.0,0.0,0.0,0.007000000000000117,0.007000000000000117,0.007000000000000117
2000-02-18,3.156,3.393,3.774,4.292,False,False,False,False,False,False,0.01100000000000012,0.0,0.0,0.0,0.01100000000000012,0.01100000000000012,0.01100000000000012,0.0,0.0,0.0,0.01100000000000012,0.01100000000000012,0.01100000000000012
2000-02-21,3.194,3.34,3.73,4.248,False,False,False,False,False,False,-0.04400000000000004,0.0,0.0,0.0,-0.04400000000000004,-0.04400000000000004,-0.04400000000000004,0.0,0.0,0.0,-0.04400000000000004,-0.04400000000000004,-0.04400000000000004
2000-02-22,3.164,3.352,3.746,4.269,False,False,False,False,False,False,0.016000000000000014,0.0,0.0,0.0,0.016000000000000014,0.016000000000000014,0.016000000000000014,0.0,0.0,0.0,0.016000000000000014,0.016000000000000014,0.016000000000000014
2000-02-23,3.172,3.359,3.754,4.258,False,False,False,False,False,False,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007,0.0,0.0,0.0,0.008000000000000007,0.008000000000000007,0.008000000000000007
2000-02-24,3.18,3.361,3.671,4.289,False,False,False,False,False,False,-0.08300000000000018,0.0,0.0,0.0,-0.08300000000000018,-0.08300000000000018,-0.08300000000000018,0.0,0.0,0.0,-0.08300000000000018,-0.08300000000000018,-0.08300000000000018
2000-02-25,3.208,3.36,3.838,4.327,False,False,False,False,False,False,0.16700000000000026,0.0,0.0,0.0,0.16700000000000026,0.16700000000000026,0.16700000000000026,0.0,0.0,0.0,0.16700000000000026,0.16700000000000026,0.16700000000000026
2000-02-28,3.189,3.492,3.861,4.353,False,False,False,False,False,False,0.02300000000000013,0.0,0.0,0.0,0.02300000000000013,0.02300000000000013,0.02300000000000013,0.0,0.0,0.0,0.02300000000000013,0.02300000000000013,0.02300000000000013
2000-02-29,3.25,3.45,3.868,4.369,False,False,False,False,False,False,0.006999999999999673,0.0,0.0,0.0,0.006999999999999673,0.006999999999999673,0.006999999999999673,0.0,0.0,0.0,0.006999999999999673,0.006999999999999673,0.006999999999999673
2000-03-01,3.233,3.411,3.851,4.35,False,False,False,False,False,False,-0.016999999999999904,0.0,0.0,0.0,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904,0.0,0.0,0.0,-0.016999999999999904,-0.016999999999999904,-0.016999999999999904
2000-03-02,3.265,3.416,3.866,4.343,False,False,False,False,False,False,0.015000000000000124,0.0,0.0,0.0,0.015000000000000124,0.015000000000000124,0.015000000000000124,0.0,0.0,0.0,0.015000000000000124,0.015000000000000124,0.015000000000000124
2000-03-03,3.266,3.398,3.841,4.31,False,False,False,False,False,False,-0.02499999999999991,0.0,0.0,0.0,-0.02499999999999991,-0.02499999999999991,-0.02499999999999991,0.0,0.0,0.0,-0.02499999999999991,-0.02499999999999991,-0.02499999999999991
2000-03-06,3.26,3.39,3.843,4.314,False,False,False,False,False,False,0.0019999999999997797,0.0,0.0,0.0,0.0019999999999997797,0.0019999999999997797,0.0019999999999997797,0.0,0.0,0.0,0.0019999999999997797,0.0019999999999997797,0.0019999999999997797
2000-03-07,3.22,3.364,3.832,4.287,False,False,False,False,False,False,-0.01100000000000012,0.0,0.0,0.0,-0.01100000000000012,-0.01100000000000012,-0.01100000000000012,0.0,0.0,0.0,-0.01100000000000012,-0.01100000000000012,-0.01100000000000012
