"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2020","105.50","105.46","105.75","105.40","","0.05%"
"09/30/2020","105.45","105.64","105.81","105.40","","-0.18%"
"09/29/2020","105.64","105.50","105.75","105.34","","0.14%"
"09/28/2020","105.49","105.51","105.69","105.26","","-0.10%"
"09/25/2020","105.60","105.42","105.71","105.24","","0.19%"
"09/24/2020","105.40","105.40","105.54","105.20","","0.03%"
"09/23/2020","105.37","104.93","105.50","104.89","","0.44%"
"09/22/2020","104.91","104.65","105.09","104.40","","0.26%"
"09/21/2020","104.64","104.44","104.84","104.00","","0.09%"
"09/18/2020","104.55","104.75","104.88","104.26","","-0.17%"
"09/17/2020","104.73","104.95","105.18","104.52","","-0.20%"
"09/16/2020","104.94","105.44","105.45","104.79","","-0.46%"
"09/15/2020","105.43","105.72","105.83","105.29","","-0.27%"
"09/14/2020","105.72","106.17","106.21","105.54","","-0.40%"
"09/11/2020","106.14","106.13","106.28","106.06","","0.01%"
"09/10/2020","106.13","106.21","106.31","105.98","","-0.04%"
"09/09/2020","106.17","106.04","106.29","105.78","","0.15%"
"09/08/2020","106.01","106.29","106.39","105.86","","-0.23%"
"09/07/2020","106.25","106.28","106.39","106.13","","0.02%"
"09/04/2020","106.23","106.19","106.51","106.06","","0.06%"
"09/03/2020","106.17","106.18","106.57","106.00","","-0.01%"
"09/02/2020","106.18","105.96","106.32","105.85","","0.22%"
"09/01/2020","105.95","105.93","106.16","105.59","","0.06%"
"08/31/2020","105.89","105.36","106.10","105.29","","0.52%"
"08/28/2020","105.34","106.57","106.96","105.19","","-1.14%"
"08/27/2020","106.55","105.99","106.71","105.61","","0.54%"
"08/26/2020","105.98","106.39","106.56","105.95","","-0.36%"
"08/25/2020","106.36","105.98","106.59","105.86","","0.37%"
"08/24/2020","105.97","105.86","106.01","105.69","","0.18%"
"08/21/2020","105.78","105.79","106.08","105.43","","-0.01%"
"08/20/2020","105.79","106.11","106.22","105.74","","-0.29%"
"08/19/2020","106.10","105.41","106.15","105.10","","0.65%"
"08/18/2020","105.42","106.00","106.07","105.28","","-0.54%"
"08/17/2020","105.99","106.63","106.67","105.94","","-0.56%"
