"Date","Price","Open","High","Low","Change %"
"09/02/2022","1.572","1.598","1.670","1.497","-3.95%"
"09/01/2022","1.636","1.667","1.717","1.599","1.23%"
"08/31/2022","1.616","1.575","1.674","1.525","2.60%"
"08/30/2022","1.576","1.533","1.630","1.478","-0.11%"
"08/29/2022","1.577","1.579","1.645","1.519","9.32%"
"08/26/2022","1.443","1.347","1.497","1.327","7.54%"
"08/25/2022","1.342","1.425","1.425","1.305","-4.36%"
"08/24/2022","1.403","1.365","1.434","1.319","5.84%"
"08/23/2022","1.325","1.310","1.400","1.269","-1.27%"
"08/22/2022","1.342","1.223","1.349","1.182","7.50%"
"08/19/2022","1.249","1.200","1.265","1.182","10.28%"
"08/18/2022","1.132","1.142","1.203","1.087","1.69%"
"08/17/2022","1.114","0.988","1.140","0.968","17.12%"
"08/16/2022","0.951","0.908","0.987","0.890","5.89%"
"08/15/2022","0.898","0.986","1.015","0.873","-7.56%"
"08/12/2022","0.971","0.965","0.995","0.908","3.46%"
"08/11/2022","0.939","0.891","0.961","0.828","8.08%"
"08/10/2022","0.869","0.921","0.942","0.809","-2.96%"
"08/09/2022","0.895","0.901","0.943","0.854","1.69%"
"08/08/2022","0.880","0.874","0.917","0.828","-3.17%"
"08/05/2022","0.909","0.757","0.922","0.751","17.50%"
"08/04/2022","0.774","0.845","0.896","0.740","-8.29%"
"08/03/2022","0.844","0.780","0.906","0.746","11.49%"
"08/02/2022","0.757","0.691","0.798","0.627","4.50%"
"08/01/2022","0.724","0.759","0.840","0.704","-1.16%"
"07/30/2022","0.733","0.733","0.733","0.733","-2.31%"
"07/29/2022","0.750","0.763","0.854","0.740","2.06%"
"07/28/2022","0.735","0.978","1.007","0.711","-20.22%"
"07/27/2022","0.921","0.891","0.952","0.873","4.08%"
"07/26/2022","0.885","0.990","1.009","0.850","-9.49%"
"07/25/2022","0.978","1.044","1.064","0.966","-0.14%"
"07/22/2022","0.979","1.215","1.232","0.931","-21.52%"
"07/21/2022","1.247","1.250","1.414","1.214","1.05%"
"07/20/2022","1.234","1.240","1.282","1.136","-1.36%"
"07/19/2022","1.251","1.142","1.296","1.120","7.73%"
"07/18/2022","1.162","1.111","1.217","1.105","6.34%"
"07/15/2022","1.092","1.062","1.151","1.007","-1.81%"
"07/14/2022","1.112","1.109","1.235","1.087","4.56%"
"07/13/2022","1.064","1.041","1.136","1.015","5.00%"
"07/12/2022","1.013","1.133","1.135","0.971","-9.54%"
"07/11/2022","1.120","1.205","1.224","1.097","-9.02%"
"07/08/2022","1.231","1.207","1.261","1.160","-1.28%"
"07/07/2022","1.247","1.163","1.248","1.145","14.02%"
"07/06/2022","1.094","1.170","1.215","0.989","-4.84%"
"07/05/2022","1.149","1.273","1.312","1.130","-10.82%"
"07/04/2022","1.289","1.218","1.322","1.193","11.43%"
"07/01/2022","1.157","1.321","1.397","1.071","-14.21%"
"06/30/2022","1.348","1.468","1.513","1.318","-9.33%"
"06/29/2022","1.487","1.528","1.655","1.471","-8.41%"
"06/28/2022","1.624","1.547","1.688","1.533","4.91%"
"06/27/2022","1.548","1.453","1.584","1.438","8.64%"
"06/25/2022","1.424","1.424","1.424","1.424","-0.41%"
"06/24/2022","1.430","1.466","1.522","1.357","-1.51%"
"06/23/2022","1.452","1.694","1.724","1.400","-13.59%"
"06/22/2022","1.681","1.779","1.811","1.647","-7.99%"
"06/21/2022","1.827","1.804","1.871","1.775","0.42%"
"06/20/2022","1.819","1.751","1.832","1.689","4.80%"
"06/17/2022","1.736","1.794","1.886","1.672","-4.40%"
"06/16/2022","1.816","1.697","2.029","1.697","6.09%"
"06/15/2022","1.711","1.852","1.891","1.649","-10.03%"
"06/14/2022","1.902","1.795","1.775","1.775","5.42%"
"06/13/2022","1.804","1.610","1.844","1.596","12.29%"
"06/10/2022","1.607","1.462","1.608","1.442","11.48%"
"06/09/2022","1.441","1.306","1.480","1.283","9.65%"
"06/08/2022","1.314","1.285","1.339","1.260","3.81%"
"06/07/2022","1.266","1.298","1.319","1.243","-1.48%"
"06/06/2022","1.285","1.237","1.300","1.215","3.50%"
"06/03/2022","1.242","1.201","1.254","1.189","2.88%"
"06/02/2022","1.207","1.130","1.213","1.123","6.00%"
"06/01/2022","1.139","1.056","1.142","1.047","6.61%"
"05/31/2022","1.068","1.020","1.101","0.971","7.74%"
"05/30/2022","0.991","0.968","1.026","0.954","11.38%"
"05/29/2022","0.890","0.890","0.890","0.890","-1.19%"
"05/27/2022","0.901","0.900","0.939","0.874","-1.69%"
"05/26/2022","0.916","0.898","0.930","0.830","1.08%"
"05/25/2022","0.906","0.925","0.948","0.874","-2.96%"
"05/24/2022","0.934","0.974","1.007","0.909","-4.86%"
"05/23/2022","0.982","0.934","0.994","0.881","10.01%"
"05/20/2022","0.892","0.954","0.985","0.884","-4.20%"
"05/19/2022","0.932","0.981","1.008","0.864","-4.06%"
"05/18/2022","0.971","0.985","1.055","0.944","0.33%"
"05/17/2022","0.968","0.905","0.984","0.874","14.12%"
"05/16/2022","0.848","0.838","0.922","0.812","2.35%"
"05/14/2022","0.828","0.828","0.828","0.828","-0.48%"
"05/13/2022","0.832","0.804","0.860","0.757","8.48%"
"05/12/2022","0.767","0.834","0.863","0.739","-14.69%"
"05/11/2022","0.900","0.946","1.009","0.858","-3.88%"
"05/10/2022","0.936","1.024","1.061","0.900","-7.39%"
"05/09/2022","1.010","1.067","1.112","1.000","-8.19%"
"05/06/2022","1.101","0.974","1.123","0.964","10.19%"
"05/05/2022","0.999","0.932","1.010","0.856","3.27%"
"05/04/2022","0.967","1.013","1.032","0.949","3.91%"
"05/03/2022","0.931","0.938","0.991","0.881","1.66%"
"05/02/2022","0.916","0.905","0.952","0.860","0.49%"
"04/29/2022","0.911","0.853","0.951","0.834","4.83%"
"04/28/2022","0.869","0.780","0.886","0.733","12.72%"
"04/27/2022","0.771","0.809","0.858","0.749","-3.73%"
"04/26/2022","0.801","0.857","0.889","0.756","-0.56%"
"04/25/2022","0.805","0.911","0.941","0.788","-15.98%"
"04/22/2022","0.959","0.917","0.976","0.893","5.34%"
"04/21/2022","0.910","0.873","0.929","0.827","11.89%"
"04/20/2022","0.813","0.864","0.884","0.779","-3.19%"
"04/19/2022","0.840","0.835","0.900","0.817","4.76%"
"04/18/2022","0.802","0.810","0.810","0.802","-0.93%"
"04/15/2022","0.809","0.810","0.810","0.802","-0.76%"
"04/14/2022","0.816","0.815","0.861","0.733","2.72%"
"04/13/2022","0.794","0.880","0.906","0.775","-1.54%"
"04/12/2022","0.807","0.877","0.926","0.777","-5.97%"
"04/11/2022","0.858","0.846","0.899","0.819","6.39%"
"04/08/2022","0.806","0.743","0.829","0.719","9.60%"
