Date,2yr - AG,3yr - AG,5yr - AG,10yr,Indexed,3yr - NSW,5yr - NSW,10yr - NSW,In RBA 3dWindow,In RBA 5dWindow,In RBA 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,RBA 10yr - 3dWindow Change,RBA 10yr - 5dWindow Change,RBA 10yr - 7dWindow Change,RBA 10yr - Outside 3dWindow Change,RBA 10yr - Outside 5dWindow Change,RBA 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread
1997-01-02,6.39,6.62,7.02,7.46,4.26,,,,False,False,False,False,False,False,,6.5556,,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,1.2652,1.2657,1.2652,1.2657,,0.52%,0.0
1997-01-03,6.52,6.76,7.17,7.66,4.31,,,,False,False,False,False,False,False,0.2000000000000001,6.5295,-0.0261000000000004,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,0.2000000000000001,0.0,0.0,0.0,0.2000000000000001,0.2000000000000001,0.2000000000000001,1.2643,1.2629,1.2643,1.2629,,-0.07%,0.0
1997-01-06,6.47,6.72,7.13,7.59,4.3,,,,False,False,False,False,False,False,-0.0700000000000002,6.5567,0.0272000000000005,0.0,0.0,0.0,-0.0700000000000002,-0.0700000000000002,-0.0700000000000002,0.0,0.0,0.0,-0.0700000000000002,-0.0700000000000002,-0.0700000000000002,1.268,1.2682,1.268,1.2682,,0.29%,0.0
1997-01-07,6.38,6.65,7.08,7.58,4.29,,,,False,False,False,False,False,False,-0.0099999999999997,6.5821,0.0253999999999994,0.0,0.0,0.0,-0.0099999999999997,-0.0099999999999997,-0.0099999999999997,0.0,0.0,0.0,-0.0099999999999997,-0.0099999999999997,-0.0099999999999997,1.2665,1.2671,1.2665,1.2671,,-0.12%,0.0
1997-01-08,6.27,6.54,6.99,7.54,4.28,,,,False,False,False,False,False,False,-0.04,6.6052,0.0231000000000003,0.0,0.0,0.0,-0.04,-0.04,-0.04,0.0,0.0,0.0,-0.04,-0.04,-0.04,1.2821,1.2824,1.2821,1.2824,,1.23%,0.0036158367335532
1997-01-09,6.2,6.47,6.94,7.51,4.27,,,,False,False,False,False,False,False,-0.0300000000000002,6.5246,-0.0805999999999995,0.0,0.0,0.0,-0.0300000000000002,-0.0300000000000002,-0.0300000000000002,0.0,0.0,0.0,-0.0300000000000002,-0.0300000000000002,-0.0300000000000002,1.2825,1.2845,1.2825,1.2845,,0.03%,0.000390020678945
1997-01-10,6.27,6.55,7.0,7.49,4.27,,,,False,False,False,False,False,False,-0.0199999999999995,6.6344,0.1097999999999999,0.0,0.0,0.0,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,0.0,0.0,0.0,-0.0199999999999995,-0.0199999999999995,-0.0199999999999995,1.2805,1.2807,1.2805,1.2807,,-0.16%,0.0
1997-01-13,6.27,6.56,7.02,7.56,4.29,,,,False,False,False,False,False,False,0.0699999999999994,6.6282,-0.0062000000000006,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994,0.0,0.0,0.0,0.0699999999999994,0.0699999999999994,0.0699999999999994,1.2845,1.2844,1.2845,1.2844,,0.31%,0.0
1997-01-14,6.22,6.51,6.99,7.53,4.28,,,,False,False,False,False,False,False,-0.0299999999999993,6.5317,-0.0964999999999998,0.0,0.0,0.0,-0.0299999999999993,-0.0299999999999993,-0.0299999999999993,0.0,0.0,0.0,-0.0299999999999993,-0.0299999999999993,-0.0299999999999993,1.2811,1.2804,1.2811,1.2804,,-0.26%,0.0
1997-01-15,6.12,6.43,6.9,7.41,4.24,,,,False,False,False,False,False,False,-0.1200000000000001,6.5413,0.0095999999999998,0.0,0.0,0.0,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,0.0,0.0,0.0,-0.1200000000000001,-0.1200000000000001,-0.1200000000000001,1.2885,1.2882,1.2885,1.2882,,0.58%,0.0
