Date,2yr,5yr,10yr,20yr,In SNB 3dWindow,In SNB 5dWindow,In SNB 7dWindow,In Fed 3dWindow,In Fed 5dWindow,In Fed 7dWindow,10yr Change,US10yr,US10yr Change,SNB 10yr - 3dWindow Change,SNB 10yr - 5dWindow Change,SNB 10yr - 7dWindow Change,SNB 10yr - Outside 3dWindow Change,SNB 10yr - Outside 5dWindow Change,SNB 10yr - Outside 7dWindow Change,Fed 10yr - 3dWindow Change,Fed 10yr - 5dWindow Change,Fed 10yr - 7dWindow Change,Fed 10yr - Outside 3dWindow Change,Fed 10yr - Outside 5dWindow Change,Fed 10yr - Outside 7dWindow Change,Price,Open,High,Low,Vol.,Change %,Spread,country,gdp_per_cap,log_gpc,qrtly_chng_gpc,yearly_chng_gpc,log_qrtly_chng_gpc,log_yearly_chng_gpc,vix,dxy
1997-01-01,2.049,3.056,4.125,4.919,False,False,False,0,False,False,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,,88.18
1997-01-02,2.049,3.056,4.125,4.919,False,False,False,0,False,False,0.0,6.5556,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347,1.3415,1.3498,1.3386,,0.41%,0.0,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,,88.360001
1997-01-03,2.049,3.056,4.125,4.919,False,False,False,0,False,False,0.0,6.5295,-0.0261000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3587,1.3475,1.3639,1.343,,0.87%,0.5765213752097901,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,,89.300003
1997-01-06,2.097,3.082,4.164,4.983,False,False,False,0,False,False,0.0389999999999997,6.5567,0.0272000000000005,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997,0.0,0.0,0.0,0.0389999999999997,0.0389999999999997,0.0389999999999997,1.354,1.36,1.3635,1.3514,,-0.35%,0.0,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,,89.110001
1997-01-07,2.097,3.082,4.164,4.983,False,False,False,0,False,False,0.0,6.5821,0.0253999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3535,1.353,1.3575,1.3448,,-0.04%,0.0,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,21.0,89.019997
1997-01-08,2.097,3.082,4.164,4.983,False,False,False,0,False,False,0.0,6.6052,0.0231000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3635,1.354,1.3675,1.3513,,0.74%,0.0,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,22.29,89.459999
1997-01-09,2.097,3.082,4.164,4.983,False,False,False,0,False,False,0.0,6.5246,-0.0805999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3695,1.3655,1.3717,1.3608,,0.44%,0.0,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,,89.5
1997-01-10,2.097,3.082,4.164,4.983,False,False,False,0,False,False,0.0,6.6344,0.1097999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.376,1.3697,1.3788,1.3657,,0.47%,0.24355190517872,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,22.32,89.779999
1997-01-13,1.983,2.963,4.065,5.025,False,False,False,0,False,False,-0.0989999999999993,6.6282,-0.0062000000000006,0.0,0.0,0.0,-0.0989999999999993,-0.0989999999999993,-0.0989999999999993,0.0,0.0,0.0,-0.0989999999999993,-0.0989999999999993,-0.0989999999999993,1.3758,1.3748,1.3811,1.3706,,-0.01%,0.44293531336494,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,19.84,89.949997
1997-01-14,1.983,2.963,4.065,5.025,False,False,False,0,False,False,0.0,6.5317,-0.0964999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3738,1.3755,1.3798,1.3673,,-0.15%,0.8474139167225101,CHE,52575.3,10.870001706688717,553.5,429.8000000000029,6.316261752148692,6.063319984208417,19.27,90.32
