Date,Price,Open,High,Low,Vol.,Change %,Spread
2024-07-29,1.3834,1.383,1.3837,1.3816,,0.02%,
2024-07-28,1.3831,1.3834,1.3839,1.3824,,-0.01%,0.000489859603201765
2024-07-26,1.3833,1.3825,1.385,1.3806,,0.07%,0.00043391089454190347
2024-07-25,1.3824,1.3808,1.385,1.3796,,0.12%,0.002732647453803107
2024-07-24,1.3807,1.3785,1.3817,1.3777,,0.19%,0.0
2024-07-23,1.3781,1.3755,1.3787,1.3751,,0.22%,0.0
2024-07-22,1.3751,1.3727,1.3776,1.3705,,0.14%,0.0
2024-07-19,1.3732,1.3706,1.3749,1.37,,0.20%,0.001807189120604499
2024-07-18,1.3704,1.3683,1.372,1.367,,0.16%,0.0
2024-07-17,1.3682,1.3673,1.3703,1.3656,,0.08%,0.0008154674821355778
2024-07-16,1.3671,1.3684,1.3709,1.3665,,-0.08%,0.0020078253957661104
2024-07-15,1.3682,1.3633,1.369,1.363,,0.37%,0.0
2024-07-12,1.3631,1.3633,1.3641,1.361,,-0.01%,0.0
2024-07-11,1.3632,1.362,1.3649,1.3588,,0.10%,0.0013150087867977243
2024-07-10,1.3618,1.3636,1.3644,1.3607,,-0.12%,0.001832021554435993
2024-07-09,1.3634,1.3639,1.3649,1.3627,,-0.01%,0.0001849579421984042
2024-07-08,1.3635,1.3641,1.3649,1.3623,,-0.03%,0.0014264129571808994
2024-07-05,1.3639,1.3613,1.3655,1.3601,,0.19%,0.001049916535758306
2024-07-04,1.3613,1.3637,1.3643,1.3607,,-0.18%,0.0019317103675110415
2024-07-03,1.3638,1.3678,1.3688,1.3617,,-0.28%,0.0
2024-07-02,1.3676,1.3737,1.3757,1.3666,,-0.43%,0.0
2024-07-01,1.3735,1.3678,1.375,1.3662,,0.42%,0.005563980817473184
2024-06-28,1.3677,1.3701,1.3736,1.3654,,-0.18%,0.004280243061859547
2024-06-27,1.3701,1.3701,1.3714,1.3676,,0.01%,0.0014767290857209648
2024-06-26,1.37,1.3657,1.3709,1.3649,,0.33%,0.001060571720670837
2024-06-25,1.3655,1.3657,1.3682,1.3629,,0.01%,1.0237118519403695e-05
2024-06-24,1.3654,1.3696,1.3709,1.3649,,-0.29%,1.0237118519403695e-05
2024-06-21,1.3694,1.3687,1.3719,1.3673,,0.05%,0.000987470279865693
2024-06-20,1.3687,1.3707,1.3722,1.3681,,-0.13%,0.002223525532924651
2024-06-19,1.3705,1.3718,1.3727,1.3697,,-0.09%,0.000845474456402117
2024-06-18,1.3717,1.3724,1.3758,1.3708,,-0.04%,0.0
2024-06-17,1.3722,1.3736,1.3766,1.372,,-0.09%,0.0017466022160561373
2024-06-14,1.3735,1.3745,1.378,1.3727,,-0.05%,0.0017880106034607348
2024-06-13,1.3742,1.3723,1.3765,1.3714,,0.15%,0.0013266014861391768
2024-06-12,1.3722,1.3759,1.3762,1.3679,,-0.25%,0.0020039862629721637
2024-06-11,1.3757,1.3759,1.3793,1.3747,,-0.01%,0.0
2024-06-10,1.3758,1.3755,1.3783,1.3753,,-0.04%,0.001563978969829395
2024-06-07,1.3764,1.367,1.3769,1.3662,,0.70%,0.0
2024-06-06,1.3668,1.3695,1.3711,1.3664,,-0.18%,0.0017436826963793512
2024-06-05,1.3692,1.3678,1.3743,1.3664,,0.10%,0.0022818130838148714
